,Genero,ID Artista,Nombre Artista,Popularidad,Total de Seguidores
0,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",4bw2Am3p9ji3mYsXNXtQcd,Piso 21,79,6347623
1,"['british soul', 'pop', 'pop soul', 'uk pop']",4dpARuHxo51G3z768sgnrY,Adele,83,24528811
2,"['cantautor', 'latin pop', 'trova', 'trova mexicana']",3C6Jn2YYPlZoe7pBPQl845,Raúl Ornelas,53,124195
3,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,87,8556355
4,"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",0XwVARXT135rw8lyw1EeWP,Christian Nodal,86,5259430
5,"['mexican hip hop', 'r&b en espanol']",0zfvfy9XlborSqXNRhi8Bk,Samantha Barrón,62,52770
6,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']",6IdtcAwaNVAggwd6sCKgTI,Zoé,73,3204993
7,"['colombian hip hop', 'mexican hip hop']",1cUpGtXcSQsovNYEZOQgOG,Nanpa Básico,72,861375
8,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,85,6421342
9,"['cantautor', 'latin arena pop', 'latin pop', 'nueva cancion', 'trova', 'trova mexicana']",6genEcweKnEZ92TZvdeLFl,Edgar Oceransky,55,123438
10,[],4wAnP6TlcSkM1KVwkmSEfb,Ernesto Tapia,40,457
11,"['mexican hip hop', 'perreo']",1FCItwxfRieMGhR0eRxotU,Rich Vagos,64,65974
